748
4
2
0 : 0.02702702702702703	1 : 1.0	2 : 1.0	3 : 1.0	4 : 1	
0 : 0.05405405405405406	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.20833333333333334	4 : 1	
0 : 0.02702702702702703	1 : 0.24489795918367346	2 : 0.24489795918367346	3 : 0.53125	4 : 1	
0 : 0.02702702702702703	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.14583333333333334	4 : 0	
0 : 0.02702702702702703	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.14583333333333334	4 : 1	
0 : 0.02702702702702703	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.14583333333333334	4 : 0	
0 : 0.05405405405405406	1 : 0.3877551020408163	2 : 0.3877551020408163	3 : 0.6979166666666666	4 : 1	
0 : 0.05405405405405406	1 : 0.16326530612244897	2 : 0.16326530612244897	3 : 0.2708333333333333	4 : 1	
0 : 0.02702702702702703	1 : 0.16326530612244897	2 : 0.16326530612244897	3 : 0.3541666666666667	4 : 0	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.20408163265306123	2 : 0.20408163265306123	3 : 0.4583333333333333	4 : 0	
0 : 0.02702702702702703	1 : 0.20408163265306123	2 : 0.20408163265306123	3 : 0.4583333333333333	4 : 1	
0 : 0.02702702702702703	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.20833333333333334	4 : 0	
0 : 0.02702702702702703	1 : 0.22448979591836735	2 : 0.22448979591836735	3 : 0.5208333333333334	4 : 0	
0 : 0.05405405405405406	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.125	4 : 1	
0 : 0.05405405405405406	1 : 0.3673469387755102	2 : 0.3673469387755102	3 : 0.6979166666666666	4 : 1	
0 : 0.05405405405405406	1 : 0.14285714285714285	2 : 0.14285714285714285	3 : 0.25	4 : 1	
0 : 0.02702702702702703	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.2708333333333333	4 : 1	
0 : 0.02702702702702703	1 : 0.30612244897959184	2 : 0.30612244897959184	3 : 0.8229166666666666	4 : 0	
0 : 0.04054054054054054	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.19791666666666666	4 : 0	
0 : 0.02702702702702703	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.28125	4 : 0	
0 : 0.02702702702702703	1 : 0.14285714285714285	2 : 0.14285714285714285	3 : 0.34375	4 : 1	
0 : 0.02702702702702703	1 : 0.1836734693877551	2 : 0.1836734693877551	3 : 0.4895833333333333	4 : 0	
0 : 0.05405405405405406	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.14583333333333334	4 : 1	
0 : 0.02702702702702703	1 : 0.04081632653061224	2 : 0.04081632653061224	3 : 0.07291666666666667	4 : 1	
0 : 0.04054054054054054	1 : 0.30612244897959184	2 : 0.30612244897959184	3 : 0.75	4 : 0	
0 : 0.02702702702702703	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.125	4 : 1	
0 : 0.0	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.23958333333333334	4 : 0	
0 : 0.013513513513513514	1 : 0.16326530612244897	2 : 0.16326530612244897	3 : 0.5104166666666666	4 : 0	
0 : 0.02702702702702703	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.14583333333333334	4 : 0	
0 : 0.02702702702702703	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.14583333333333334	4 : 0	
0 : 0.05405405405405406	1 : 0.32653061224489793	2 : 0.32653061224489793	3 : 0.71875	4 : 1	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.020833333333333332	4 : 0	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.020833333333333332	4 : 1	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.020833333333333332	4 : 1	
0 : 0.02702702702702703	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.14583333333333334	4 : 1	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.020833333333333332	4 : 0	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.020833333333333332	4 : 0	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.21875	4 : 1	
0 : 0.02702702702702703	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.14583333333333334	4 : 0	
0 : 0.02702702702702703	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.14583333333333334	4 : 0	
0 : 0.02702702702702703	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.14583333333333334	4 : 0	
0 : 0.02702702702702703	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.2708333333333333	4 : 1	
0 : 0.02702702702702703	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.2708333333333333	4 : 0	
0 : 0.05405405405405406	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.020833333333333332	4 : 0	
0 : 0.02702702702702703	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.34375	4 : 1	
0 : 0.05405405405405406	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.020833333333333332	4 : 1	
0 : 0.05405405405405406	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.020833333333333332	4 : 0	
0 : 0.16216216216216217	1 : 0.20408163265306123	2 : 0.20408163265306123	3 : 0.21875	4 : 0	
0 : 0.05405405405405406	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.2708333333333333	4 : 0	
0 : 0.04054054054054054	1 : 0.32653061224489793	2 : 0.32653061224489793	3 : 0.875	4 : 0	
0 : 0.05405405405405406	1 : 0.16326530612244897	2 : 0.16326530612244897	3 : 0.375	4 : 1	
0 : 0.05405405405405406	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.125	4 : 1	
0 : 0.06756756756756757	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.25	4 : 1	
0 : 0.05405405405405406	1 : 0.14285714285714285	2 : 0.14285714285714285	3 : 0.3333333333333333	4 : 1	
0 : 0.02702702702702703	1 : 0.24489795918367346	2 : 0.24489795918367346	3 : 0.7708333333333334	4 : 1	
0 : 0.05405405405405406	1 : 0.16326530612244897	2 : 0.16326530612244897	3 : 0.3958333333333333	4 : 0	
0 : 0.02702702702702703	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.25	4 : 0	
0 : 0.02702702702702703	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.25	4 : 0	
0 : 0.08108108108108109	1 : 0.32653061224489793	2 : 0.32653061224489793	3 : 0.7083333333333334	4 : 0	
0 : 0.0	1 : 0.14285714285714285	2 : 0.14285714285714285	3 : 0.59375	4 : 0	
0 : 0.04054054054054054	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.25	4 : 0	
0 : 0.02702702702702703	1 : 0.04081632653061224	2 : 0.04081632653061224	3 : 0.125	4 : 0	
0 : 0.02702702702702703	1 : 0.1836734693877551	2 : 0.1836734693877551	3 : 0.6458333333333334	4 : 0	
0 : 0.05405405405405406	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.21875	4 : 1	
0 : 0.05405405405405406	1 : 0.16326530612244897	2 : 0.16326530612244897	3 : 0.4583333333333333	4 : 0	
0 : 0.05405405405405406	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.21875	4 : 0	
0 : 0.05405405405405406	1 : 0.14285714285714285	2 : 0.14285714285714285	3 : 0.3958333333333333	4 : 1	
0 : 0.02702702702702703	1 : 0.22448979591836735	2 : 0.22448979591836735	3 : 0.8333333333333334	4 : 0	
0 : 0.14864864864864866	1 : 0.46938775510204084	2 : 0.46938775510204084	3 : 0.6458333333333334	4 : 0	
0 : 0.02702702702702703	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.4583333333333333	4 : 1	
0 : 0.05405405405405406	1 : 0.20408163265306123	2 : 0.20408163265306123	3 : 0.6145833333333334	4 : 0	
0 : 0.013513513513513514	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.5729166666666666	4 : 0	
0 : 0.02702702702702703	1 : 0.20408163265306123	2 : 0.20408163265306123	3 : 0.8020833333333334	4 : 1	
0 : 0.02702702702702703	1 : 0.04081632653061224	2 : 0.04081632653061224	3 : 0.14583333333333334	4 : 1	
0 : 0.05405405405405406	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.25	4 : 1	
0 : 0.02702702702702703	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.40625	4 : 1	
0 : 0.02702702702702703	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.3229166666666667	4 : 1	
0 : 0.02702702702702703	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.25	4 : 0	
0 : 0.02702702702702703	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.3333333333333333	4 : 0	
0 : 0.05405405405405406	1 : 0.14285714285714285	2 : 0.14285714285714285	3 : 0.4583333333333333	4 : 1	
0 : 0.02702702702702703	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.25	4 : 0	
0 : 0.05405405405405406	1 : 0.14285714285714285	2 : 0.14285714285714285	3 : 0.4791666666666667	4 : 1	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.08333333333333333	4 : 1	
0 : 0.05405405405405406	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.2708333333333333	4 : 0	
0 : 0.02702702702702703	1 : 0.22448979591836735	2 : 0.22448979591836735	3 : 0.96875	4 : 0	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.08333333333333333	4 : 0	
0 : 0.05405405405405406	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.34375	4 : 0	
0 : 0.02702702702702703	1 : 0.20408163265306123	2 : 0.20408163265306123	3 : 0.8958333333333334	4 : 0	
0 : 0.02702702702702703	1 : 0.04081632653061224	2 : 0.04081632653061224	3 : 0.17708333333333334	4 : 0	
0 : 0.02702702702702703	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.3645833333333333	4 : 0	
0 : 0.02702702702702703	1 : 0.22448979591836735	2 : 0.22448979591836735	3 : 1.0	4 : 0	
0 : 0.12162162162162163	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.17708333333333334	4 : 0	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.09375	4 : 0	
0 : 0.02702702702702703	1 : 0.16326530612244897	2 : 0.16326530612244897	3 : 0.75	4 : 0	
0 : 0.06756756756756757	1 : 0.2653061224489796	2 : 0.2653061224489796	3 : 0.875	4 : 0	
0 : 0.05405405405405406	1 : 0.04081632653061224	2 : 0.04081632653061224	3 : 0.14583333333333334	4 : 0	
0 : 0.05405405405405406	1 : 0.04081632653061224	2 : 0.04081632653061224	3 : 0.14583333333333334	4 : 0	
0 : 0.05405405405405406	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.07291666666666667	4 : 1	
0 : 0.05405405405405406	1 : 0.04081632653061224	2 : 0.04081632653061224	3 : 0.14583333333333334	4 : 1	
0 : 0.08108108108108109	1 : 0.04081632653061224	2 : 0.04081632653061224	3 : 0.125	4 : 0	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.09375	4 : 0	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.09375	4 : 1	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.09375	4 : 0	
0 : 0.02702702702702703	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.5833333333333334	4 : 1	
0 : 0.05405405405405406	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.3854166666666667	4 : 0	
0 : 0.05405405405405406	1 : 0.20408163265306123	2 : 0.20408163265306123	3 : 0.7916666666666666	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 1	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 1	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 1	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 1	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.02702702702702703	1 : 0.0	2 : 0.0	3 : 0.0	4 : 0	
0 : 0.14864864864864866	1 : 0.1836734693877551	2 : 0.1836734693877551	3 : 0.34375	4 : 0	
0 : 0.14864864864864866	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.14583333333333334	4 : 1	
0 : 0.05405405405405406	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.3229166666666667	4 : 1	
0 : 0.05405405405405406	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.40625	4 : 1	
0 : 0.02702702702702703	1 : 0.04081632653061224	2 : 0.04081632653061224	3 : 0.20833333333333334	4 : 0	
0 : 0.05405405405405406	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.25	4 : 1	
0 : 0.13513513513513514	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.14583333333333334	4 : 0	
0 : 0.02702702702702703	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.34375	4 : 0	
0 : 0.05405405405405406	1 : 0.22448979591836735	2 : 0.22448979591836735	3 : 0.8958333333333334	4 : 0	
0 : 0.17567567567567569	1 : 0.14285714285714285	2 : 0.14285714285714285	3 : 0.25	4 : 0	
0 : 0.14864864864864866	1 : 0.16326530612244897	2 : 0.16326530612244897	3 : 0.3229166666666667	4 : 0	
0 : 0.05405405405405406	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.3333333333333333	4 : 0	
0 : 0.05405405405405406	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.25	4 : 0	
0 : 0.10810810810810811	1 : 0.2857142857142857	2 : 0.2857142857142857	3 : 0.78125	4 : 0	
0 : 0.05405405405405406	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.34375	4 : 1	
0 : 0.05405405405405406	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.5208333333333334	4 : 0	
0 : 0.05405405405405406	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.5208333333333334	4 : 0	
0 : 0.02702702702702703	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.34375	4 : 0	
0 : 0.14864864864864866	1 : 0.20408163265306123	2 : 0.20408163265306123	3 : 0.4166666666666667	4 : 0	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.125	4 : 0	
0 : 0.02702702702702703	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.46875	4 : 1	
0 : 0.12162162162162163	1 : 0.14285714285714285	2 : 0.14285714285714285	3 : 0.375	4 : 1	
0 : 0.05405405405405406	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.46875	4 : 0	
0 : 0.14864864864864866	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.28125	4 : 0	
0 : 0.12162162162162163	1 : 0.16326530612244897	2 : 0.16326530612244897	3 : 0.4479166666666667	4 : 0	
0 : 0.05405405405405406	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.5208333333333334	4 : 0	
0 : 0.05405405405405406	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.5833333333333334	4 : 0	
0 : 0.08108108108108109	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.09375	4 : 1	
0 : 0.05405405405405406	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.5833333333333334	4 : 0	
0 : 0.14864864864864866	1 : 0.16326530612244897	2 : 0.16326530612244897	3 : 0.375	4 : 0	
0 : 0.14864864864864866	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.25	4 : 0	
0 : 0.02702702702702703	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.14583333333333334	4 : 0	
0 : 0.02702702702702703	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.7708333333333334	4 : 0	
0 : 0.14864864864864866	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.2604166666666667	4 : 0	
0 : 0.14864864864864866	1 : 0.04081632653061224	2 : 0.04081632653061224	3 : 0.125	4 : 0	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 1	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 1	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 1	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 1	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 1	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.04081632653061224	2 : 0.04081632653061224	3 : 0.22916666666666666	4 : 0	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 0	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 1	
0 : 0.05405405405405406	1 : 0.0	2 : 0.0	3 : 0.020833333333333332	4 : 0	
0 : 0.13513513513513514	1 : 0.14285714285714285	2 : 0.14285714285714285	3 : 0.3854166666666667	4 : 0	
0 : 0.1891891891891892	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.25	4 : 0	
0 : 0.10810810810810811	1 : 0.1836734693877551	2 : 0.1836734693877551	3 : 0.6354166666666666	4 : 0	
0 : 0.14864864864864866	1 : 0.04081632653061224	2 : 0.04081632653061224	3 : 0.13541666666666666	4 : 0	
0 : 0.05405405405405406	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.125	4 : 0	
0 : 0.02702702702702703	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.4270833333333333	4 : 0	
0 : 0.10810810810810811	1 : 0.16326530612244897	2 : 0.16326530612244897	3 : 0.5833333333333334	4 : 0	
0 : 0.10810810810810811	1 : 0.14285714285714285	2 : 0.14285714285714285	3 : 0.5208333333333334	4 : 1	
0 : 0.14864864864864866	1 : 0.42857142857142855	2 : 0.42857142857142855	3 : 1.0	4 : 0	
0 : 0.05405405405405406	1 : 0.04081632653061224	2 : 0.04081632653061224	3 : 0.23958333333333334	4 : 1	
0 : 0.14864864864864866	1 : 0.32653061224489793	2 : 0.32653061224489793	3 : 0.8020833333333334	4 : 1	
0 : 0.12162162162162163	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.09375	4 : 0	
0 : 0.05405405405405406	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.4583333333333333	4 : 0	
0 : 0.14864864864864866	1 : 0.22448979591836735	2 : 0.22448979591836735	3 : 0.5833333333333334	4 : 0	
0 : 0.0945945945945946	1 : 0.22448979591836735	2 : 0.22448979591836735	3 : 0.875	4 : 0	
0 : 0.14864864864864866	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.09375	4 : 0	
0 : 0.14864864864864866	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.09375	4 : 0	
0 : 0.14864864864864866	1 : 0.02040816326530612	2 : 0.02040816326530612	3 : 0.09375	4 : 0	
0 : 0.02702702702702703	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.7604166666666666	4 : 0	
